username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
realDonaldTrump;2018-01-16 04:28;28614;113485;"Senator Dicky Durbin totally misrepresented what was said at the DACA meeting. Deals can’t get made when there is no trust! Durbin blew DACA and is hurting our Military.";;;;"953000902331453442";https://twitter.com/realDonaldTrump/status/953000902331453442
realDonaldTrump;2018-01-15 21:02;22470;109621;"...to stop drugs, they want to take money away from our military which we cannot do.” My standard is very simple, AMERICA FIRST & MAKE AMERICA GREAT AGAIN!";;;;"952888691944550401";https://twitter.com/realDonaldTrump/status/952888691944550401
realDonaldTrump;2018-01-15 20:57;21103;91456;"Statement by me last night in Florida: “Honestly, I don’t think the Democrats want to make a deal. They talk about DACA, but they don’t want to help..We are ready, willing and able to make a deal but they don’t want to. They don’t want security at the border, they don’t want.....";;;;"952887520790040576";https://twitter.com/realDonaldTrump/status/952887520790040576
realDonaldTrump;2018-01-14 21:59;18174;85573;"...big unnecessary regulation cuts made it all possible” (among many other things). “President Trump reversed the policies of President Obama, and reversed our economic decline.” Thank you Stuart Varney. @ foxandfriends";;@;;"952540700683497472";https://twitter.com/realDonaldTrump/status/952540700683497472
realDonaldTrump;2018-01-14 21:50;23927;108436;"“President Trump is not getting the credit he deserves for the economy. Tax Cut bonuses to more than 2,000,000 workers. Most explosive Stock Market rally that we’ve seen in modern times. 18,000 to 26,000 from Election, and grounded in profitability and growth. All Trump, not 0...";;;;"952538350333939713";https://twitter.com/realDonaldTrump/status/952538350333939713
realDonaldTrump;2018-01-14 21:19;37450;155760;"I, as President, want people coming into our Country who are going to help us become strong and great again, people coming in through a system based on MERIT. No more Lotteries! # AMERICA FIRST";;;#;"952530515894169601";https://twitter.com/realDonaldTrump/status/952530515894169601
realDonaldTrump;2018-01-14 21:09;26172;117635;"DACA is probably dead because the Democrats don’t really want it, they just want to talk and take desperately needed money away from our Military.";;;;"952528011869478912";https://twitter.com/realDonaldTrump/status/952528011869478912
realDonaldTrump;2018-01-14 21:01;15664;80526;"...and they knew exactly what I said and meant. They just wanted a story. FAKE NEWS!";;;;"952526145064505345";https://twitter.com/realDonaldTrump/status/952526145064505345
realDonaldTrump;2018-01-14 20:58;21316;92783;"The Wall Street Journal stated falsely that I said to them “I have a good relationship with Kim Jong Un” (of N. Korea). Obviously I didn’t say that. I said “I’d have a good relationship with Kim Jong Un,” a big difference. Fortunately we now record conversations with reporters...";;;;"952525384242876416";https://twitter.com/realDonaldTrump/status/952525384242876416
realDonaldTrump;2018-01-14 06:08;32469;142111;"So much Fake News is being reported. They don’t even try to get it right, or correct it when they are wrong. They promote the Fake Book of a mentally deranged author, who knowingly writes false information. The Mainstream Media is crazed that WE won the election!";;;;"952301373479104512";https://twitter.com/realDonaldTrump/status/952301373479104512
realDonaldTrump;2018-01-13 22:20;25667;119932;"I don’t believe the Democrats really want to see a deal on DACA. They are all talk and no action. This is the time but, day by day, they are blowing the one great opportunity they have. Too bad!";;;;"952183458922672130";https://twitter.com/realDonaldTrump/status/952183458922672130
